timestamp,temperature_salon,humidity_salon,air_salon,temperature_chambre,humidity_chambre,air_chambre,temperature_bureau,humidity_bureau,air_bureau,temperature_exterieur,humidity_exterieur,air_exterieur
2023-08-19 08:45:00,27.91875,60.13125,2119.0,30.38125,62.403125,0.0,28.4125,57.275,0.0,20.004375,89.625,0.0
2023-08-19 23:00:00,28.3875,60.6125,2143.0,30.375,53.59375,0.0,28.75,58.45625,0.0,26.755625,69.125,0.0
2023-08-19 23:15:00,28.41875,61.11875,2101.0,30.39375,53.7875,0.0,28.75625,58.83125,0.0,26.500625,69.875,0.0
2023-08-19 23:30:00,28.425,61.7,2100.0,30.40625,54.0125,0.0,28.76875,59.212500000000006,0.0,26.25,70.625,0.0
2023-08-19 23:45:00,28.450000000000003,62.26875,2126.0,30.425,54.375,0.0,28.775,59.6375,0.0,25.960625,71.6875,0.0
2023-08-20 00:00:00,28.45625,62.89375,2064.0,30.45,54.775,0.0,28.775,60.06875,0.0,25.67375,72.75,0.0
2023-08-20 00:15:00,28.4625,63.21875,2110.0,30.44375,54.85,0.0,28.775,60.3875,0.0,25.387500000000003,73.8125,0.0
2023-08-20 00:30:00,28.4125,63.4375,2064.0,30.40625,55.0125,0.0,28.762500000000003,60.5125,0.0,25.136875,74.625,0.0
2023-08-20 00:45:00,28.3625,63.575,2057.0,30.36875,55.16875,0.0,28.75,60.55625,0.0,24.89375,75.5,0.0
2023-08-20 01:00:00,28.31875,63.6375,2075.0,30.325000000000003,55.35625,0.0,28.73125,60.6125,0.0,24.66875,76.375,0.0
2023-08-20 01:15:00,28.25625,63.7625,2087.0,30.28125,55.5125,0.0,28.7125,60.675,0.0,24.434375000000003,77.25,0.0
2023-08-20 01:30:00,28.19375,63.825,2071.0,30.225,55.71875,0.0,28.69375,60.7375,0.0,24.25625,78.0,0.0
2023-08-20 01:45:00,28.125,63.825,2039.0,30.16875,55.925,0.0,28.675,60.8,0.0,24.065,78.625,0.0
2023-08-20 02:00:00,28.05,63.85,2074.0,30.11875,56.13125,0.0,28.65,60.7875,0.0,23.88125,79.25,0.0
